date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-01-01 00:00:00,11,10,0.0,2.0,3,48,12:49 PM,01:56 AM,09:51 AM,05:37 PM,9,7,10,7,40,83,97,0.0,1008,10,10,229,23,amsterdam
2012-01-01 03:00:00,11,10,0.0,2.0,3,48,12:49 PM,01:56 AM,09:51 AM,05:37 PM,10,7,11,7,51,100,96,0.7,1007,11,2,226,31,amsterdam
2012-01-01 06:00:00,11,10,0.0,2.0,3,48,12:49 PM,01:56 AM,09:51 AM,05:37 PM,10,7,10,7,43,99,95,0.0,1007,10,10,234,26,amsterdam
2012-01-01 09:00:00,11,10,0.0,2.0,3,48,12:49 PM,01:56 AM,09:51 AM,05:37 PM,10,7,11,7,43,94,96,0.1,1008,10,10,234,27,amsterdam
2012-01-01 12:00:00,11,10,0.0,2.0,3,48,12:49 PM,01:56 AM,09:51 AM,05:37 PM,10,9,11,9,35,100,92,0.0,1008,11,10,223,23,amsterdam
2012-01-01 15:00:00,11,10,0.0,2.0,3,48,12:49 PM,01:56 AM,09:51 AM,05:37 PM,10,8,11,8,37,100,96,0.6,1005,11,2,213,23,amsterdam
2012-01-01 18:00:00,11,10,0.0,2.0,3,48,12:49 PM,01:56 AM,09:51 AM,05:37 PM,11,9,11,9,32,100,95,0.0,1003,11,10,191,19,amsterdam
2012-01-01 21:00:00,11,10,0.0,2.0,3,48,12:49 PM,01:56 AM,09:51 AM,05:37 PM,10,8,11,8,65,100,94,5.5,1000,11,7,208,40,amsterdam
2012-01-02 00:00:00,10,6,0.0,5.8,2,55,01:09 PM,03:02 AM,09:51 AM,05:38 PM,9,7,10,7,43,83,95,7.1,1001,10,7,249,28,amsterdam
2012-01-02 03:00:00,10,6,0.0,5.8,2,55,01:09 PM,03:02 AM,09:51 AM,05:38 PM,7,5,8,5,27,55,93,0.0,1003,8,10,234,17,amsterdam
2012-01-02 06:00:00,10,6,0.0,5.8,2,55,01:09 PM,03:02 AM,09:51 AM,05:38 PM,6,4,7,4,27,70,89,0.0,1004,7,10,255,17,amsterdam
2012-01-02 09:00:00,10,6,0.0,5.8,2,55,01:09 PM,03:02 AM,09:51 AM,05:38 PM,4,4,7,4,32,32,81,0.0,1006,7,10,247,20,amsterdam
