date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,5,1,0.0,5.8,2,37,01:17 PM,No moonset,09:48 AM,05:38 PM,3,2,4,2,14,4,93,0.0,1034,4,10,120,9,utrecht
2020-01-01 03:00:00,5,1,0.0,5.8,2,37,01:17 PM,No moonset,09:48 AM,05:38 PM,1,-1,2,-1,16,6,93,0.0,1033,2,10,123,9,utrecht
2020-01-01 06:00:00,5,1,0.0,5.8,2,37,01:17 PM,No moonset,09:48 AM,05:38 PM,0,-2,1,-2,17,11,94,0.0,1032,1,10,132,9,utrecht
2020-01-01 09:00:00,5,1,0.0,5.8,2,37,01:17 PM,No moonset,09:48 AM,05:38 PM,-0,-2,1,-2,15,21,93,0.0,1032,1,10,142,9,utrecht
2020-01-01 12:00:00,5,1,0.0,5.8,2,37,01:17 PM,No moonset,09:48 AM,05:38 PM,2,1,4,1,11,16,86,0.0,1031,4,10,167,8,utrecht
2020-01-01 15:00:00,5,1,0.0,5.8,2,37,01:17 PM,No moonset,09:48 AM,05:38 PM,3,3,5,3,10,8,88,0.0,1030,5,10,168,8,utrecht
2020-01-01 18:00:00,5,1,0.0,5.8,2,37,01:17 PM,No moonset,09:48 AM,05:38 PM,2,1,4,1,15,4,92,0.0,1030,4,10,173,9,utrecht
2020-01-01 21:00:00,5,1,0.0,5.8,2,37,01:17 PM,No moonset,09:48 AM,05:38 PM,2,0,3,0,16,3,92,0.0,1029,3,10,191,9,utrecht
2020-01-02 00:00:00,5,-2,0.0,2.0,2,44,01:34 PM,12:22 AM,09:48 AM,05:39 PM,1,-1,2,-1,18,9,93,0.0,1029,2,10,193,10,utrecht
2020-01-02 03:00:00,5,-2,0.0,2.0,2,44,01:34 PM,12:22 AM,09:48 AM,05:39 PM,0,-3,1,-3,19,56,96,0.0,1028,1,5,199,12,utrecht
